"zip","renter","hs_graduate","college_graduate","median_household_income"
"02032","0.17563172379284464","0.22939649578195975","0.24075275794938353","92500.0"
"02035","0.25549964895857713","0.1997219268831275","0.33303345056023553","88766.0"
"02038","0.14470588235294118","0.19510578880106025","0.33407488048468786","108272.0"
"02043","0.13294144245986886","0.13923003499840916","0.3695195672923958","116187.0"
"02045","0.23241206030150754","0.2699130848910585","0.2546731753780212","74391.0"
"02047","","","","31302.0"
"02048","0.23056392595781317","0.20432375428420776","0.31604271025573427","93019.0"
"02050","0.19297695563567957","0.19534390352836087","0.30856409111210364","82986.0"
"02052","0.07838499184339315","0.12315333672949567","0.3620733571064697","138036.0"
"02053","0.09391181547152047","0.18588560885608857","0.3414437269372694","110241.0"
"02054","0.14374288244970265","0.2387820512820513","0.30982905982905984","92042.0"
"02056","0.026875940657923026","0.19905917306263926","0.3165387472146571","141278.0"
"02061","0.05369320910575353","0.19229152067274002","0.36103714085494043","111628.0"
"02062","0.3641095109083131","0.2580768495507551","0.2828331103039572","80532.0"
"02066","0.10674060945629181","0.1614052128865145","0.3597215476768658","104337.0"
"02067","0.09572834309766225","0.08622694799800631","0.3432463864429307","124217.0"
"02071","0.014202172096908938","0.20244461420932008","0.186401833460657","112708.0"
"02072","0.20250529544956541","0.26400629054452524","0.22061136229604875","76179.0"
"02081","0.10743844944997381","0.18607107824643476","0.33532030483664077","97753.0"
"02090","0.08507801040138685","0.13083026901490227","0.3565898974259725","135884.0"
"02093","0.09995346672871103","0.22059800664451829","0.31853820598006644","102659.0"
"02108","0.5377652050919378","0.043560606060606064","0.3787878787878788","103973.0"
"02109","0.6991846243447875","0.05958702064896755","0.3831858407079646","111313.0"
"02110","0.450990099009901","0.015401540154015401","0.37458745874587457","128210.0"
"02111","0.7458241411913016","0.1584139631948397","0.2682602921646746","51480.0"
"02113","0.7513966480446927","0.0775284661754856","0.5231078365706631","76503.0"
"02114","0.7412417037721583","0.04848363926576217","0.3721069433359936","86240.0"
"02115","0.8598459167950694","0.12648397750602516","0.2997411407658663","31737.0"
"02116","0.5815074051531751","0.06787438174125499","0.3303140456468625","93059.0"
"02118","0.6685896649073279","0.13827951688439732","0.25585407936899185","62300.0"
"02119","0.7709086621600377","0.28119147940074907","0.16403323970037453","28885.0"
"02120","0.9061596958174905","0.22289247473985824","0.2147489066505806","30487.0"
"02121","0.7868378231784487","0.33159590043923864","0.08937042459736456","26150.0"
"02122","0.6378993142665997","0.31617996201329535","0.15598290598290598","52122.0"
"02124","0.5831238365733367","0.31345656927052273","0.15569185336627198","48350.0"
"02125","0.6925321738115388","0.26312403499742665","0.22328015096929146","48123.0"
"02126","0.5749318801089919","0.3402243922709329","0.10482027841263246","45958.0"
"02127","0.6336976880713427","0.19924245081191036","0.3899274015361414","77633.0"
"02128","0.7479944862495198","0.309756175096163","0.13160822710366532","51097.0"
"02129","0.5627276867030966","0.15916672844539995","0.3267106531247683","87381.0"
"02130","0.5514584628693466","0.14356739086017845","0.29122114009398625","77480.0"
"02131","0.4293142986337651","0.2475770925110132","0.21052863436123348","64178.0"
"02132","0.24914800835501485","0.20922616262749136","0.26752128754561616","87983.0"
"02134","0.825435578737099","0.16492350246347998","0.35223441956953927","44000.0"
"02135","0.7615744432041673","0.1450448800146547","0.3542773401721927","50752.0"
"02136","0.4144043226146547","0.3195965835062491","0.15673406360083","61391.0"
"02138","0.5551456749228337","0.06248001826901119","0.30226079013473395","79540.0"
"02139","0.62545952810641","0.08716056315430588","0.2916048293289479","78649.0"
"02140","0.588160159937802","0.12283420200028174","0.2546133258205381","84163.0"
"02141","0.6573415644291631","0.1590909090909091","0.29002866502866503","70828.0"
"02142","0.8577371048252912","0.017930327868852458","0.32223360655737704","99934.0"
"02143","0.6707193515704154","0.13876049898116397","0.31901992942696683","73117.0"
"02144","0.6706767538963991","0.14814616660424804","0.33807714943020706","87169.0"
"02145","0.5694690265486726","0.26980888984324675","0.216340992054971","58665.0"
"02148","0.5438558256496228","0.2984793964016251","0.1824956471271039","54883.0"
"02149","0.5954057404851576","0.38157445937649226","0.12013097755644997","50718.0"
"02150","0.7287228140257435","0.3256428247141855","0.10074703867266499","47811.0"
"02151","0.45598601694101376","0.38592239201979744","0.13317345715233309","50865.0"
