"zip","renter","mortgage","hs_graduate","college_graduate","median_income","household_size"
"01742","0.18333818817360908","0.6421605401350338","0.1307287218901224","0.29654141759180186","","2.51"
"01745","","","","","47222.0","2.8"
"01746","0.1080042689434365","0.7354397547748173","0.1324607329842932","0.35905759162303663","","2.81"
"01747","0.1854071201973916","0.6897746967071057","0.23299277348616995","0.31672065786194864","","2.62"
"01748","0.0881255628457481","0.7997032640949555","0.13543065413389602","0.36984461922117784","","2.91"
"01749","0.21602805425197255","0.6969121959634293","0.2708990259967767","0.234041062294163","35310.0","2.56"
"01752","0.3945054945054945","0.7251752997059489","0.2899165656421593","0.22363260357983314","34647.0","2.49"
"01754","0.2550082260718088","0.7074324324324325","0.2529274004683841","0.2729638303408795","","2.44"
"01756","0.07602239945698286","0.8376696832579186","0.19571944301186178","0.2821041774110366","","2.97"
"01757","0.33558742926291063","0.7434908389585342","0.28028033111573813","0.23305063226854908","","2.6"
"01760","0.2161395211350872","0.7228348035284683","0.13040610183467327","0.3555967841682127","50459.0","2.47"
"01770","0.053216650898770104","0.7393894266567387","0.07577903682719547","0.38208215297450426","","2.91"
"01772","0.07646932646932647","0.6893646893646893","0.12224352828379674","0.3927772451262384","","2.96"
"01773","0.15156727828746178","0.5399529964747356","0.05439330543933055","0.3122384937238494","","2.6"
"01775","0.07387518142235124","0.678740836567486","0.15890645023494232","0.3216574113626655","","2.74"
"01776","0.03405692767748367","0.7238962859145059","0.07016810236681442","0.36765074851551394","","3.0"
"01778","0.0664278250485147","0.6631693989071038","0.05964385325037545","0.3527140098691268","61721.0","2.59"
"01801","0.34973746525275407","0.6804435483870968","0.3228289382852409","0.23136131437249757","38099.0","2.62"
"01803","0.22399365457069204","0.6607768469154608","0.23148249154576198","0.2638267699356387","","2.72"
"01810","0.153289794921875","0.7235372476688186","0.10909815733522324","0.3283575478384125","51461.0","2.72"
"01821","0.15054762057259977","0.756002233389168","0.3388325445120577","0.21433400946585532","","2.85"
"01824","0.10004741583688952","0.7101569933396765","0.20449930533290583","0.2927220262904777","","2.6"
"01826","0.17994090501643373","0.7435399039560943","0.36029172666883447","0.16667440888186927","36252.0","2.78"
"01827","0.018719806763285024","0.64198606271777","0.20223713646532437","0.3069351230425056","","2.84"
"01830","0.4275053304904051","0.7873203096203465","0.2944943759754588","0.16936655723588612","","2.52"
"01832","0.3308991328160657","0.7673521850899743","0.2966313763233879","0.18139236445299967","29802.0","2.63"
"01833","0.11088492396120225","0.7795698924731183","0.21908856405846946","0.2763542562338779","45791.0","2.7"
"01834","0.10973210231572575","0.6906624934793949","0.27222808870116155","0.2211193241816262","","2.79"
"01835","0.28353563647681296","0.7393338838425544","0.2431638418079096","0.23355932203389831","","2.54"
"01840","0.9225690276110444","","0.2825493171471927","0.08528072837632777","13750.0","2.25"
"01841","0.719325645578828","0.8160194174757281","0.35519588137804575","0.065093973694418","","3.11"
"01843","0.646326124883353","0.7522935779816514","0.31422861195280766","0.09631874153826317","","2.81"
"01844","0.24833665652219541","0.7290192926045016","0.31209767596482213","0.18420018737344737","31628.0","2.76"
"01845","0.2166648778219026","0.7569938962360122","0.17780277081948775","0.31767292060733093","44934.0","2.6"
"01850","0.469616443619133","0.7209477247085371","0.38878259993958314","0.1301983687443359","22472.0","2.91"
"01851","0.5526782063513698","0.7133881101981634","0.3168890007550969","0.12902089101434683","","2.97"
"01852","0.5005223055180041","0.7200392927308448","0.30291378279073744","0.1613261556865761","","2.43"
"01854","0.5487291439263995","0.7506040268456375","0.3506174251086211","0.11325177223873771","18294.0","2.75"
"01860","0.12850107725453985","0.6763888888888889","0.23524229074889869","0.25748898678414095","","2.6"
"01862","0.0767154572822589","0.7152294853963839","0.34633324695516976","0.19720134749935217","","2.91"
"01863","0.15761353517364202","0.6650406504065041","0.26157061809495374","0.25649447596297403","","2.3"
"01864","0.08945497630331753","0.7453961456102783","0.23542175210197994","0.33568393454479706","49704.0","2.84"
"01867","0.13908450704225353","0.7228579402735138","0.17538171314036433","0.3291870541767376","47693.0","2.77"
"01876","0.10195775735036137","0.7256524506683641","0.33408250222409513","0.22802828112562626","","2.62"
"01879","0.11497907949790795","0.7363758389261745","0.2470419505198996","0.3032150113541293","46477.0","2.83"
"01880","0.1908876355054202","0.7149646931015752","0.25682798275035934","0.29441516264707446","","2.58"
"01886","0.06832594909217271","0.7424561403508771","0.11821000134789054","0.3291548726243429","53895.0","2.95"
"01887","0.1292201774129485","0.7455235204855842","0.30598809975946323","0.20692492720597544","38429.0","2.99"
"01890","0.11839918759231906","0.6939661858228634","0.11077069716775599","0.29391339869281047","","2.88"
"01901","0.9198113207547169","","0.2718351324828263","0.12070657507360157","","1.69"
"01902","0.6402682804273262","0.7933309557774608","0.3130791588305693","0.1163275773636519","22257.0","2.76"
"01904","0.1833990261998609","0.7489021956087825","0.3385699246902583","0.1959672848003887","38221.0","2.74"
"01905","0.5115677139330227","0.7732037841984147","0.3459193829310774","0.11849962677282906","25753.0","3.05"
